City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,st. john's,47.5649,-52.7093,1.75,82,100,2.06,CA,1701040947
1,grytviken,-54.2811,-36.5092,3.97,95,100,3.9,GS,1701040947
2,happy valley-goose bay,53.3168,-60.3315,-1.83,69,75,6.69,CA,1701040947
3,kapa'a,22.0752,-159.319,26.99,79,75,7.72,US,1701040947
4,al ghayzah,16.2079,52.176,25.65,70,10,1.36,YE,1701040947
5,shimoda,34.6667,138.95,13.2,69,0,2.74,JP,1701040947
6,alo,7.4178,6.7371,24.57,87,100,0.92,NG,1701040948
7,kimovsk,53.9716,38.5319,0.06,98,100,6.54,RU,1701040948
8,bethel,41.3712,-73.414,9.31,81,100,4.63,US,1701040948
9,albany,42.6001,-73.9662,5.13,73,99,0.89,US,1701040788
10,kharan,28.5833,65.4167,15.69,45,79,0.35,PK,1701040948
11,college,64.8569,-147.8028,-3.64,87,75,1.54,US,1701040948
12,crane,31.3974,-102.3501,10.5,25,100,3.5,US,1701040948
13,whitehorse,60.7161,-135.0538,5.05,75,75,6.71,CA,1701040948
14,port-aux-francais,-49.35,70.2167,3.51,75,100,7.04,TF,1701040948
15,camaqua,-30.8511,-51.8122,19.61,86,11,4.25,BR,1701040948
16,hanceville,34.0607,-86.7675,11.97,94,100,1.88,US,1701040949
17,papatowai,-46.5619,169.4708,14.07,70,99,2.14,NZ,1701040949
18,trashi yangtse,27.6116,91.498,10.8,60,60,2.25,BT,1701040949
19,avarua,-21.2078,-159.775,27.03,65,75,8.75,CK,1701040949
20,lata,40.1629,-8.3327,14.34,96,81,0.24,PT,1701040949
21,constantia,44.1833,28.65,-0.62,73,100,9.86,RO,1701040944
22,iskateley,67.6803,53.1512,-19.19,99,83,3.11,RU,1701040949
23,bandarbeyla,9.4942,50.8122,26.22,75,100,8.19,SO,1701040949
24,christchurch,-43.5333,172.6333,20.3,55,92,7.2,NZ,1701040789
25,taroa,8.7058,171.2275,27.93,80,56,9.06,MH,1701040950
26,puerto natales,-51.7236,-72.4875,7.99,64,35,4.09,CL,1701040950
27,edinburgh of the seven seas,-37.0676,-12.3116,12.85,67,10,13.95,SH,1701040950
28,yellowknife,62.456,-114.3525,-13.71,85,100,4.63,CA,1701040950
29,puerto ayora,-0.7393,-90.3518,25.31,90,66,3.13,EC,1701040950
30,adamstown,-25.066,-130.1015,21.28,86,100,12.54,PN,1701040950
31,breyten,-26.3018,29.987,15.26,85,3,1.05,ZA,1701040950
32,novoukrayinka,48.3264,31.5285,-2.97,95,100,14.23,UA,1701040950
33,itamaraca,-7.7478,-34.8256,28.03,66,0,4.26,BR,1701040950
34,sinabang,2.4803,96.3801,25.86,80,100,1.3,ID,1701040951
35,longyearbyen,78.2186,15.6401,0.91,86,75,7.2,SJ,1701040702
36,ulverston,54.1959,-3.0963,6.49,82,100,1.16,GB,1701040951
37,haiku-pauwela,20.9219,-156.3051,27.01,69,40,11.32,US,1701040951
38,uturoa,-16.7333,-151.4333,26.39,78,45,8.12,PF,1701040951
39,whangarei,-35.7317,174.3239,20.92,43,48,2.66,NZ,1701040951
40,nar'yan-mar,67.6713,53.087,-19.23,99,84,3.06,RU,1701040951
41,hamilton,39.1834,-84.5333,7.74,87,100,5.14,US,1701040794
42,isafjordur,66.0755,-23.124,3.69,88,96,4.25,IS,1701040951
43,bilibino,68.0546,166.4372,-12.46,89,14,2.85,RU,1701040952
44,iqaluit,63.7506,-68.5145,-11.15,73,75,1.54,CA,1701040952
45,hawaiian paradise park,19.5933,-154.9731,26.73,77,20,3.6,US,1701040952
46,waitangi,-43.9535,-176.5597,15.46,94,70,3.58,NZ,1701040952
47,tongliao,43.6125,122.2653,-10.51,95,100,1.08,CN,1701040952
48,puerto lempira,15.2667,-83.7667,29.08,84,20,0.0,HN,1701040952
49,port mathurin,-19.6833,63.4167,24.7,74,56,7.61,MU,1701040745
50,mazara del vallo,37.6641,12.588,11.63,57,75,4.99,IT,1701040800
51,taro,-8.3862,115.28,23.0,83,100,0.51,ID,1701040952
52,keflavik,64.0049,-22.5624,5.95,100,100,8.23,IS,1701040953
53,puerto cabezas,14.0351,-83.3888,28.98,84,40,4.12,NI,1701040953
54,ushuaia,-54.8,-68.3,6.81,65,75,8.75,AR,1701040936
55,tongchuanshi,35.0806,109.0897,5.98,35,3,2.34,CN,1701040802
56,hithadhoo,-0.6,73.0833,27.38,75,64,1.2,MV,1701040953
57,tutoia,-2.7619,-42.2744,27.23,78,33,6.09,BR,1701040953
58,blackmans bay,-43.0167,147.3167,11.52,74,96,3.25,AU,1701040953
59,paradip garh,20.3167,86.6167,20.25,71,77,3.53,IN,1701040953
60,itupiranga,-5.1347,-49.3267,27.18,89,87,2.26,BR,1701040954
61,port elizabeth,-33.918,25.5701,20.17,81,0,2.57,ZA,1701040954
62,kirakira,-10.4544,161.9205,28.03,81,100,4.4,SB,1701040954
63,zhuanghe,39.7008,122.9911,1.96,82,35,1.47,CN,1701040954
64,aasiaat,68.7098,-52.8699,-6.76,96,100,3.96,GL,1701040954
65,ust-nera,64.5667,143.2,-24.84,96,99,3.15,RU,1701040954
66,lemvig,56.5486,8.3102,0.67,91,100,6.86,DK,1701040955
67,dryden,49.7833,-92.7503,-10.84,79,100,4.63,CA,1701040955
68,tofol,5.3248,163.0078,30.88,70,75,3.09,FM,1701040956
69,alaghsas,17.0187,8.0168,25.28,18,83,4.99,NE,1701040956
70,fresnillo,23.1667,-102.8833,24.75,16,95,2.87,MX,1701040861
71,churapcha,62.0025,132.4325,-29.76,93,100,2.52,RU,1701040956
